canonicalName,cluster,district,country,status,inKaratu23
Banjika,Original Karatu,Karatu,Tanzania,active,no
Baray,Original Karatu,Karatu,Tanzania,active,no
Chaenda,KDP 1,Karatu,Tanzania,active,yes
Charawe,Zanzibar,Kati/Central Unguja,Tanzania,active,no
Diego,KDP 2,Karatu,Tanzania,active,yes
Domel,KDP 1,Karatu,Tanzania,active,yes
Endabash,KDP 1,Karatu,Tanzania,active,yes
Endallah,Original Karatu,Karatu,Tanzania,active,no
Florian,Original Karatu,Karatu,Tanzania,active,no
Fundo,Zanzibar,Wete,Tanzania,active,no
Gyekrum Arusha,KDP 1,Karatu,Tanzania,proposed,yes
Jongowe,Zanzibar,Kaskazini/North A Unguja,Tanzania,active,no
Kabasa,Bunda,Bunda,Tanzania,active,no
Kainam,Karatu in progress,Karatu,Tanzania,in_progress,yes
Kandwi,Zanzibar,Kaskazini/North A Unguja,Tanzania,active,no
Kidoti,Zanzibar,Kaskazini/North A Unguja,Tanzania,active,no
Kijini,Zanzibar,Kaskazini/North A Unguja,Tanzania,active,no
Kilimamoja,KDP 2,Karatu,Tanzania,active,yes
Kilimatembo,KDP 2,Karatu,Tanzania,active,yes
Kisiwa Panza,Zanzibar,Mkoani,Tanzania,active,no
Lake Natron,Ngorongoro,Ngorongoro,Tanzania,active,no
Makoongwe,Zanzibar,Mkoani,Tanzania,active,no
Marang,KDP 2,Karatu,Tanzania,active,yes
Mbuyutende,Zanzibar,Kaskazini/North A Unguja,Tanzania,active,no
Mekomariro,Bunda,Bunda,Tanzania,active,no
Mgutwa,Manyara,Simanjiro,Tanzania,inactive,no
Michamvi,Zanzibar,Kusini/South Unguja,Tanzania,active,no
Mlimani Sumawe,KDP 1,Karatu,Tanzania,active,yes
Nainokanoka,Ngorongoro,Ngorongoro,Tanzania,active,no
Nanenane,Morogoro,Morogoro Urban,Tanzania,active,no
Noonkodin,Monduli,Monduli,Tanzania,inactive,no
Oldeani,KDP 1,Karatu,Tanzania,active,yes
Olturoto,Arusha other,Arusha,Tanzania,inactive,no
Pwani Mchangani,Zanzibar,Kaskazini/North A Unguja,Tanzania,active,no
Rigicha,Serengeti,Serengeti,Tanzania,active,no
San Francisco Rio Itaya,Peru,Belen,Peru,active,no
Sazira,Bunda,Bunda,Tanzania,active,no
Shimbwe,Kilimanjaro,Moshi,Tanzania,inactive,no
Shungi,Zanzibar,Chake-Chake,Tanzania,active,no
Slahamo,Original Karatu,Karatu,Tanzania,active,no
Soit Sambu,Ngorongoro,Ngorongoro,Tanzania,active,no
Tumbatu,Zanzibar,Kaskazini/North A Unguja,Tanzania,active,no
Tumbe,Zanzibar,Micheweni,Tanzania,active,no
Ukongoroni,Zanzibar,Kati/Central Unguja,Tanzania,active,no
Upper Kitete,KDP 1,Karatu,Tanzania,active,yes
Uzi,Zanzibar,Kati/Central Unguja,Tanzania,active,no
Welwel,Original Karatu,Karatu,Tanzania,active,no
